"ObjectId","Index","Concluded","CreatedAt","Name","NextPageCursor","Owner","PrimaryLanguage","PullRequestsCount","Stargazers"
"fbcb4675-66e2-491c-a353-c1ba1afd4478","3","True","2024-10-21 22:59:12.892373","public-apis","Y3Vyc29yOjQ=","public-apis","Python","3264","315854"
"4a1d5e52-388b-4d6e-b46f-340ceef6231b","0","True","2024-10-21 15:11:29.362584","freeCodeCamp","Y3Vyc29yOjE=","freeCodeCamp","","37635","404389"
"90635f6c-9261-4e52-b28e-ad7f8f3d6fbe","6","False","2024-10-22 00:21:29.772317","developer-roadmap","Y3Vyc29yOjc=","kamranahmedse","TypeScript","4465","294909"
"676aebfb-b89f-432c-8b87-8088e5977e6c","1","True","2024-10-21 17:59:26.188649","free-programming-books","Y3Vyc29yOjI=","EbookFoundation","","10294","336625"
"4ece8601-0f25-4f70-8a7b-02514e93e3fa","2","True","2024-10-21 22:53:50.745105","awesome","Y3Vyc29yOjM=","sindresorhus","null","2067","329659"
"b7b3b7e8-a63b-43fd-881f-2580839daab0","5","True","2024-10-21 23:57:30.371092","build-your-own-x","Y3Vyc29yOjY=","codecrafters-io","Markdown","419","305048"
"5916c70c-6ea2-4a94-ad8e-a9d676f2887e","4","True","2024-10-21 23:54:51.068282","coding-interview-university","Y3Vyc29yOjU=","jwasham","null","998","305900"
