ChangedFiles,UpdatedAt,PublishedAt,ClosedAt,PullRequestsCount,ParticipantsCount,State,RepositoryId,RepositoryName,PrimaryLanguage,Title,LastEditedAt,Author,MergedAt,CommitsCount,OwnerName,ObjectId,Deletions,Additions,ReviewsCount,StargazersCount,CreatedAt
2,2021-12-04T00:01:43Z,2020-12-01T05:06:43Z,2020-12-03T08:02:31Z,9804,1,MERGED,MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==,prettier,JavaScript,Build(deps): Bump @typescript-eslint/typescript-estree from 4.8.2 to 4.9.0,2020-12-01T07:28:36Z,dependabot,2020-12-03T08:02:31Z,1,prettier,0ca2305c-9216-4b96-ace6-292449f470af,17,12,1,49376,2020-12-01T05:06:43Z
1,2024-02-21T22:34:46Z,2024-02-21T20:53:07Z,2024-02-21T22:34:46Z,6183,1,MERGED,R_kgDOIWuq5w,llama_index,Python,Bump cryptography from 42.0.3 to 42.0.4 in /llama-index-integrations/llms/llama-index-llms-huggingface,None,dependabot,2024-02-21T22:34:46Z,1,run-llama,92c28e64-96e6-4841-a6c8-be171203286b,33,45,0,36519,2024-02-21T20:53:07Z
2,2023-01-27T07:23:31Z,2023-01-27T00:07:22Z,2023-01-27T07:23:27Z,8333,2,MERGED,MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nest,TypeScript,chore(deps-dev): bump @fastify/view from 7.3.0 to 7.4.1,None,dependabot,2023-01-27T07:23:27Z,1,nestjs,7a216902-9be6-45d8-b710-a9af64e5326d,4,4,0,67599,2023-01-27T00:07:22Z
2,2024-02-14T01:47:52Z,2023-02-01T08:02:09Z,2023-02-13T08:58:57Z,5392,0,CLOSED,MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,hugo,Go,build(deps): bump golang.org/x/tools from 0.4.0 to 0.5.0,None,dependabot,None,1,gohugoio,6f1c457d-7eb7-4c8d-a72c-198de2cfd3d3,9,12,0,75666,2023-02-01T08:02:09Z
1,2022-12-07T04:30:15Z,2022-12-07T04:01:22Z,2022-12-07T04:30:07Z,5866,1,MERGED,MDEwOlJlcG9zaXRvcnkxNjQxNDA3NTY=,Files,C#,Build(deps): Bump MSTest.TestFramework from 2.2.10 to 3.0.0,None,dependabot,2022-12-07T04:30:07Z,1,files-community,141c7983-3583-40cf-bc51-47014c8dd8e9,1,1,0,34429,2022-12-07T04:01:22Z
2,2021-08-08T10:15:02Z,2021-08-08T09:43:44Z,2021-08-08T10:14:50Z,717,1,MERGED,MDEwOlJlcG9zaXRvcnk5MDc5MzQxOA==,fd,Rust,Bump regex from 1.4.6 to 1.5.4,None,dependabot,2021-08-08T10:14:50Z,1,sharkdp,47657b41-9e07-482e-b77a-640750ea18ea,11,11,0,34007,2021-08-08T09:43:44Z
2,2021-08-04T17:41:54Z,2021-08-02T04:06:24Z,2021-08-04T17:41:37Z,3976,1,CLOSED,MDEwOlJlcG9zaXRvcnk3NzIxMzEyMA==,tabby,TypeScript,Bump @sentry/cli from 1.67.2 to 1.68.0,None,dependabot,None,1,Eugeny,68caba11-707e-4c03-b92d-1cbd76c74ca4,5,5,0,59172,2021-08-02T04:06:24Z
2,2022-01-10T07:09:43Z,2022-01-09T01:20:54Z,2022-01-10T07:09:43Z,4734,1,MERGED,MDEwOlJlcG9zaXRvcnkyMzEyODM0NTI=,excalidraw,TypeScript,chore(deps-dev): bump autoprefixer from 10.4.0 to 10.4.2 in /src/packages/excalidraw,None,dependabot,2022-01-10T07:09:42Z,1,excalidraw,d7447882-ae81-40f7-bfe1-ee6f6bb31308,37,32,0,83917,2022-01-09T01:20:54Z
2,2023-05-23T05:47:24Z,2023-05-23T03:58:22Z,2023-05-23T05:47:23Z,2661,1,MERGED,MDEwOlJlcG9zaXRvcnkxNTQyODQ4MA==,AdminLTE,Astro,chore(deps-dev): bump @typescript-eslint/parser from 5.59.6 to 5.59.7,2023-05-23T05:21:01Z,dependabot,2023-05-23T05:47:23Z,1,ColorlibHQ,767e707b-bec5-45e6-9978-04e9ecfdcedc,131,14,0,44041,2023-05-23T03:58:22Z
2,2021-10-25T12:02:33Z,2021-10-25T11:04:39Z,2021-10-25T12:02:33Z,4137,1,MERGED,MDEwOlJlcG9zaXRvcnk2MjM2NzU1OA==,hyper,TypeScript,Bump husky from 7.0.2 to 7.0.4,None,dependabot,2021-10-25T12:02:33Z,1,vercel,a46b1ba4-a72c-4118-a3d0-aee0652261d3,5,5,0,43341,2021-10-25T11:04:39Z
1,2023-08-08T12:53:41Z,2023-08-08T00:02:28Z,2023-08-08T12:52:44Z,4965,2,MERGED,MDEwOlJlcG9zaXRvcnkyNjg0MjQ3Mzk=,helix,Rust,build(deps): bump serde from 1.0.180 to 1.0.183,2023-08-08T12:53:41Z,dependabot,2023-08-08T12:52:44Z,1,helix-editor,6d35f441-7ce0-46db-8c81-ef6dbbac4b64,4,4,2,33625,2023-08-08T00:02:28Z
1,2022-07-20T09:21:04Z,2022-07-20T08:39:40Z,2022-07-20T08:59:35Z,8333,2,MERGED,MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nest,TypeScript,chore(deps): bump terser from 5.10.0 to 5.14.2 in /sample/19-auth-jwt,None,dependabot,2022-07-20T08:59:35Z,1,nestjs,bbe97ea2-2586-45ea-8839-f5d7684a5817,16,57,0,67599,2022-07-20T08:39:40Z
2,2021-07-21T02:03:05Z,2021-07-19T02:10:49Z,2021-07-21T02:03:04Z,7052,1,CLOSED,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack,JavaScript,chore(deps-dev): bump @types/node from 15.12.5 to 16.3.3,None,dependabot,None,1,webpack,d9ce8259-50a5-4655-a712-98c9d2700a62,5,5,0,64671,2021-07-19T02:10:49Z
2,2024-05-09T02:40:13Z,2024-05-07T21:43:54Z,2024-05-09T02:40:04Z,4491,1,CLOSED,MDEwOlJlcG9zaXRvcnkxMjg2MjQ0NTM=,taro,TypeScript,chore(deps-dev): bump @types/babel-template from 6.25.2 to 6.25.5,None,dependabot,None,1,NervJS,871caad8-50b6-492e-a1f9-228a911a8ed3,1679,1410,0,35567,2024-05-07T21:43:54Z
2,2020-11-03T02:01:21Z,2020-11-02T05:21:56Z,2020-11-03T02:01:17Z,1747,1,MERGED,MDEwOlJlcG9zaXRvcnk0ODY1NTA=,html5-boilerplate,JavaScript,chore(deps-dev): bump eslint from 7.10.0 to 7.12.1,None,dependabot,2020-11-03T02:01:16Z,1,h5bp,7a5ee6df-20c1-4dc5-8e3a-b799e4be89d7,13,18,0,56549,2020-11-02T05:21:56Z
2,2024-05-27T15:36:35Z,2024-05-27T15:08:57Z,2024-05-27T15:36:34Z,1707,1,MERGED,R_kgDOGgFgVA,memos,Go,chore: bump @bufbuild/buf from 1.32.0 to 1.32.1 in /web,None,dependabot,2024-05-27T15:36:34Z,1,usememos,64add0f0-6991-4aa9-bc2c-1fb9467db5c7,23,23,0,33695,2024-05-27T15:08:57Z
2,2023-03-14T09:38:07Z,2023-03-13T11:59:43Z,2023-03-14T09:38:05Z,4137,1,MERGED,MDEwOlJlcG9zaXRvcnk2MjM2NzU1OA==,hyper,TypeScript,Bump eslint-plugin-json-schema-validator from 4.0.3 to 4.1.0,None,dependabot,2023-03-14T09:38:04Z,1,vercel,59d29740-7c31-4004-8c8d-6c2053fbf7e4,12,19,0,43341,2023-03-13T11:59:43Z
1,2023-03-02T09:24:58Z,2023-02-20T07:57:24Z,2023-03-02T09:24:56Z,1346,0,CLOSED,MDEwOlJlcG9zaXRvcnkxMzg1NTQ3Ng==,gorm,Go,chore(deps): bump gorm.io/driver/mysql from 1.4.6 to 1.4.7 in /tests,2023-03-02T09:24:55Z,dependabot,None,1,go-gorm,fa2268b1-c3c5-47d3-a3c6-f1ec67158519,1,1,0,36880,2023-02-20T07:57:24Z
2,2021-04-23T13:17:53Z,2021-04-23T05:22:37Z,2021-04-23T13:17:52Z,8333,1,CLOSED,MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nest,TypeScript,chore(deps-dev): bump grpc from 1.24.6 to 1.24.7,2021-04-23T13:17:51Z,dependabot,None,1,nestjs,3a126934-e8f0-4a2c-8dad-620662ce1279,7,7,0,67599,2021-04-23T05:22:37Z
2,2021-11-16T17:25:27Z,2021-11-16T13:58:24Z,2021-11-16T17:25:26Z,8942,2,MERGED,MDEwOlJlcG9zaXRvcnk2ODM4OTIx,prometheus,Go,build(deps): bump github.com/envoyproxy/go-control-plane from 0.9.9 to 0.10.1,2021-11-16T16:12:30Z,dependabot,2021-11-16T17:25:26Z,1,prometheus,f48d554a-5e06-4c96-86a7-4698fcc9a06a,4,5,0,55548,2021-11-16T13:58:24Z
2,2023-06-30T08:58:33Z,2023-05-23T08:57:47Z,2023-06-30T08:58:31Z,498,0,CLOSED,MDEwOlJlcG9zaXRvcnkyMzc3OTEwNzc=,diagrams,Python,chore(deps-dev): bump rope from 0.14.0 to 1.8.0,None,dependabot,None,1,mingrammer,9acca380-01ce-47e6-8635-3b20795212ca,35,50,0,38474,2023-05-23T08:57:47Z
2,2021-11-05T08:45:54Z,2021-11-04T08:51:49Z,2021-11-05T08:45:54Z,7052,2,MERGED,MDEwOlJlcG9zaXRvcnkzNjc4NzMx,webpack,JavaScript,chore(deps-dev): bump jest-junit from 12.2.0 to 13.0.0,2021-11-04T10:32:06Z,dependabot,2021-11-05T08:45:54Z,1,webpack,dbef1e00-be45-429d-81a7-d61241781e62,24,12,0,64671,2021-11-04T08:51:49Z
2,2023-07-17T04:21:55Z,2023-07-05T04:10:14Z,2023-07-17T04:21:52Z,3976,0,CLOSED,MDEwOlJlcG9zaXRvcnk3NzIxMzEyMA==,tabby,TypeScript,Bump @sentry/electron from 2.5.4 to 4.7.0,None,dependabot,None,1,Eugeny,459382f0-587b-419b-a938-bab74b527433,90,79,0,59172,2023-07-05T04:10:14Z
1,2022-10-08T18:01:51Z,2021-11-03T13:13:04Z,2021-11-03T13:31:54Z,4196,1,MERGED,MDEwOlJlcG9zaXRvcnkyODA1NTcwNTQ=,trpc,TypeScript,Bump @babel/core from 7.15.8 to 7.16.0,2021-11-03T13:34:41Z,dependabot,2021-11-03T13:31:54Z,1,trpc,6d616990-0699-4060-a1bf-4d01587e5e2b,83,143,1,34912,2021-11-03T13:13:04Z
1,2023-02-23T17:24:22Z,2023-02-08T15:01:35Z,2023-02-23T17:24:11Z,2510,1,CLOSED,MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==,guava,Java,Bump actions/setup-java from 3.9.0 to 3.10.0,None,dependabot,None,1,google,e33c367b-0f8a-42fd-a0da-84a5d2f3b86e,3,3,1,50184,2023-02-08T15:01:35Z
2,2022-06-15T19:01:19Z,2022-06-15T04:07:40Z,2022-06-15T19:01:18Z,3976,0,CLOSED,MDEwOlJlcG9zaXRvcnk3NzIxMzEyMA==,tabby,TypeScript,Bump @types/node from 16.0.1 to 17.0.43,2022-06-15T19:01:12Z,dependabot,None,1,Eugeny,b731f603-a71f-4045-a467-7a233d3896a8,12,24,0,59172,2022-06-15T04:07:40Z
2,2024-04-28T18:44:25Z,2023-03-20T16:59:57Z,2023-04-29T13:21:48Z,4219,1,CLOSED,MDEwOlJlcG9zaXRvcnkxNDcxMjg1MA==,syncthing,Go,build(deps): bump actions/setup-go from 3 to 4,2023-04-28T11:03:35Z,dependabot,None,1,syncthing,a03ce83f-6e7e-4650-8a5b-3bf39d3b466f,8,8,0,65187,2023-03-20T16:59:57Z
1,2022-12-06T11:13:45Z,2022-12-05T11:15:19Z,2022-12-06T11:13:42Z,3905,0,CLOSED,MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,fastapi,Python,⬆ Bump ruff from 0.0.138 to 0.0.158,None,dependabot,None,1,fastapi,3f0cd38d-a575-475e-8b0c-a9714bbb3539,2,2,0,77179,2022-12-05T11:15:19Z
2,2024-09-18T09:16:22Z,2024-09-17T10:04:16Z,2024-09-18T09:16:14Z,8333,2,MERGED,MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nest,TypeScript,"chore(deps): bump serve-static, express and @nestjs/platform-express in /sample/32-graphql-federation-schema-first/gateway",None,dependabot,2024-09-18T09:16:14Z,1,nestjs,479dd2b3-f97a-49c5-bd2b-14d8570dcc0b,112,148,0,67599,2024-09-17T10:04:16Z
1,2022-04-06T14:28:44Z,2022-04-06T13:23:17Z,2022-04-06T14:28:43Z,6144,1,MERGED,MDEwOlJlcG9zaXRvcnk5MDc5NjY2Mw==,puppeteer,TypeScript,chore(deps-dev): bump eslint-plugin-import from 2.25.4 to 2.26.0,2022-04-06T14:08:58Z,dependabot,2022-04-06T14:28:43Z,1,puppeteer,ca87aec5-599f-4a85-a705-edba4d5feeae,1,1,1,88671,2022-04-06T13:23:17Z
2,2021-12-10T09:51:09Z,2021-12-06T07:09:03Z,2021-12-10T09:51:07Z,1346,0,CLOSED,MDEwOlJlcG9zaXRvcnkxMzg1NTQ3Ng==,gorm,Go,Bump github.com/jinzhu/now from 1.1.3 to 1.1.4,2021-12-10T09:51:07Z,dependabot,None,1,go-gorm,38bfbd66-24d8-4b87-a261-1b870a7490b1,3,3,0,36880,2021-12-06T07:09:03Z
1,2021-11-23T10:22:13Z,2021-06-18T16:30:32Z,2021-11-23T10:22:03Z,4355,1,CLOSED,MDEwOlJlcG9zaXRvcnkxNTA0NTc1MQ==,compose,Go,Bump smmap from 3.0.4 to 4.0.0,2021-09-28T11:38:15Z,dependabot,None,1,docker,143bcefb-24bf-44e8-aeaa-68bc8b3773d0,1,1,0,33955,2021-06-18T16:30:32Z
2,2021-06-01T19:28:41Z,2021-05-31T05:04:13Z,2021-05-31T14:31:29Z,1864,1,MERGED,MDEwOlJlcG9zaXRvcnkyMDk2NTc5,marked,JavaScript,chore(deps-dev): Bump uglify-js from 3.13.7 to 3.13.8,None,dependabot,2021-05-31T14:31:29Z,1,markedjs,47a08611-6185-4dc8-9523-e3e6ef25a162,4,4,0,33132,2021-05-31T05:04:13Z
2,2023-01-17T03:03:08Z,2023-01-10T03:01:12Z,2023-01-17T03:03:06Z,2661,0,CLOSED,MDEwOlJlcG9zaXRvcnkxNTQyODQ4MA==,AdminLTE,Astro,chore(deps-dev): bump @typescript-eslint/parser from 5.30.6 to 5.48.1,None,dependabot,None,1,ColorlibHQ,5ddc1e70-d137-4ab8-bf2a-1763af2a62fd,14,129,0,44041,2023-01-10T03:01:12Z
1,2024-01-19T01:05:15Z,2023-10-30T04:20:26Z,2023-11-02T10:00:35Z,2774,1,MERGED,MDEwOlJlcG9zaXRvcnkyNjQ4MTg2ODY=,yolov5,Python,Bump actions/setup-node from 3 to 4,2024-01-19T01:05:14Z,dependabot,2023-11-02T10:00:35Z,1,ultralytics,dcff5a61-a877-4e27-90d1-6e98f7e333ed,1,1,0,50636,2023-10-30T04:20:26Z
4,2024-05-02T06:37:38Z,2024-05-02T04:10:45Z,2024-05-02T06:37:31Z,3952,1,MERGED,MDEwOlJlcG9zaXRvcnk3NTA4NDEx,RxJava,Java,Bump codecov/codecov-action from 4.3.0 to 4.3.1,None,dependabot,2024-05-02T06:37:30Z,1,ReactiveX,929d34f8-3768-4251-82cd-bb8f14d40f0d,4,4,0,47909,2024-05-02T04:10:45Z
2,2022-07-25T13:59:56Z,2022-07-15T16:55:48Z,2022-07-25T13:59:55Z,5055,2,MERGED,MDEwOlJlcG9zaXRvcnkxOTY3MDE2MTk=,tauri,Rust,chore(deps-dev): bump svelte from 3.48.0 to 3.49.0 in /examples/api,None,dependabot,2022-07-25T13:59:55Z,1,tauri-apps,86abb711-f645-466c-ad5c-381f5783d497,5,5,1,84377,2022-07-15T16:55:48Z
2,2021-06-02T06:04:38Z,2021-06-01T02:02:24Z,2021-06-02T06:04:30Z,1617,1,MERGED,MDEwOlJlcG9zaXRvcnkxMzA0NjQ5NjE=,bat,Rust,Bump assert_cmd from 1.0.3 to 1.0.4,None,dependabot,2021-06-02T06:04:30Z,1,sharkdp,254f1fd1-deb2-4391-ae27-4cc097f6c2f5,3,3,1,49456,2021-06-01T02:02:24Z
2,2021-08-06T08:12:55Z,2021-08-03T04:04:33Z,2021-08-06T08:12:54Z,3976,1,MERGED,MDEwOlJlcG9zaXRvcnk3NzIxMzEyMA==,tabby,TypeScript,Bump @typescript-eslint/eslint-plugin from 4.28.5 to 4.29.0,2021-08-04T17:45:34Z,dependabot,2021-08-06T08:12:54Z,1,Eugeny,7c31171c-2e19-4cc1-b728-0b28d243a3b0,14,48,0,59172,2021-08-03T04:04:33Z
