ChangedFiles,UpdatedAt,PublishedAt,ClosedAt,PullRequestsCount,ParticipantsCount,State,RepositoryId,RepositoryName,PrimaryLanguage,Title,LastEditedAt,Author,MergedAt,CommitsCount,OwnerName,ObjectId,Deletions,Additions,ReviewsCount,StargazersCount,CreatedAt
2,2024-03-11T12:49:08Z,2024-03-11T12:02:26Z,2024-03-11T12:49:07Z,4140,1,MERGED,MDEwOlJlcG9zaXRvcnk5MzExMzU=,Leaflet,JavaScript,Bump rollup from 4.12.0 to 4.12.1,None,dependabot,2024-03-11T12:49:07Z,1,Leaflet,e1861c9d-9d34-4823-919d-a0f9d36f2662,57,57,1,41349,2024-03-11T12:02:26Z
1,2023-09-18T01:39:53Z,2023-09-17T22:25:44Z,2023-09-18T01:39:44Z,1696,1,CLOSED,R_kgDOIpvk-w,text-generation-webui,Python,Bump llama-cpp-python from 0.1.85 to 0.2.6,None,dependabot,None,1,oobabooga,f2e2d8f0-1feb-4f71-9049-d27019e4e98c,1,1,0,40456,2023-09-17T22:25:44Z
2,2022-02-01T03:15:30Z,2022-01-25T03:09:30Z,2022-02-01T03:15:28Z,2661,0,CLOSED,MDEwOlJlcG9zaXRvcnkxNTQyODQ4MA==,AdminLTE,Astro,chore(deps-dev): bump rollup from 2.63.0 to 2.66.0,None,dependabot,None,1,ColorlibHQ,d3d08b36-de6c-4ba0-838c-1e49153bb8bc,8,8,0,44041,2022-01-25T03:09:30Z
1,2024-05-14T03:49:31Z,2024-05-13T07:43:44Z,2024-05-14T03:49:23Z,7537,1,MERGED,MDEwOlJlcG9zaXRvcnk0NzEwOTIw,dubbo,Java,Bump bytebuddy.version from 1.14.14 to 1.14.15,None,dependabot,2024-05-14T03:49:23Z,1,apache,97eb632e-d177-45e0-9a72-fa2fc0d90bf4,1,1,0,40493,2024-05-13T07:43:44Z
1,2024-10-04T11:56:37Z,2024-10-01T11:59:59Z,2024-10-04T11:56:35Z,3905,1,MERGED,MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,fastapi,Python,⬆ Bump mkdocstrings[python] from 0.25.1 to 0.26.1,2024-10-04T11:38:26Z,dependabot,2024-10-04T11:56:35Z,2,fastapi,f8dfc828-f46a-475a-b4a2-cbf5d8b298ad,1,1,0,77179,2024-10-01T11:59:59Z
2,2023-02-24T02:02:48Z,2022-02-16T08:04:35Z,2022-02-23T08:56:16Z,5392,0,CLOSED,MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,hugo,Go,build(deps): bump google.golang.org/api from 0.63.0 to 0.69.0,2022-02-19T10:35:48Z,dependabot,None,1,gohugoio,adf9b4fb-1db4-487a-9142-2bc538c46304,19,34,0,75666,2022-02-16T08:04:35Z
1,2022-10-13T00:09:10Z,2021-04-29T00:52:10Z,2021-04-29T09:46:38Z,4196,0,MERGED,MDEwOlJlcG9zaXRvcnkyODA1NTcwNTQ=,trpc,TypeScript,Bump next from 10.1.3 to 10.2.0,2021-04-29T09:44:54Z,dependabot,2021-04-29T09:46:38Z,1,trpc,3d019bd4-3ed8-4bb9-846f-8efc407acbba,80,58,2,34912,2021-04-29T00:52:10Z
2,2022-12-03T23:00:08Z,2022-11-05T15:21:07Z,2022-12-03T22:59:58Z,1229,1,CLOSED,MDEwOlJlcG9zaXRvcnkyNTUzNzg4MTY=,htmx,JavaScript,Bump github.com/labstack/echo/v4 from 4.3.0 to 4.9.0 in /www/test/1.8.4/test/servers/ws,None,dependabot,None,1,bigskysoftware,5e56f3f6-1cdf-43f1-b009-20b5b316fc87,40,32,0,38240,2022-11-05T15:21:07Z
2,2021-11-04T04:03:15Z,2021-10-09T11:39:50Z,2021-11-04T04:03:14Z,4491,0,CLOSED,MDEwOlJlcG9zaXRvcnkxMjg2MjQ0NTM=,taro,TypeScript,chore(deps-dev): bump @commitlint/cli from 7.6.1 to 13.2.1,2021-11-04T04:03:06Z,dependabot,None,1,NervJS,037b27dd-4aae-486f-aeaf-74a11919f920,279,260,0,35567,2021-10-09T11:39:50Z
1,2023-12-04T23:25:24Z,2023-10-17T21:09:43Z,2023-10-20T16:24:50Z,621,1,MERGED,MDEwOlJlcG9zaXRvcnk2MDYzMDg0NA==,monaco-editor,JavaScript,Bump @babel/traverse from 7.17.3 to 7.23.2 in /samples/browser-esm-webpack-typescript-react,None,dependabot,2023-10-20T16:24:50Z,1,microsoft,fb8f495f-6c73-4c00-8e36-a43a88a1e3ff,198,171,1,40366,2023-10-17T21:09:43Z
1,2024-11-01T15:09:59Z,2024-11-01T13:05:39Z,2024-11-01T15:09:58Z,2664,1,MERGED,R_kgDOI7jmAw,langflow,Python,build(deps):(deps): bump install-pinned/ruff from f5afd2b0fca6556debe3e07025fc90e04fb3c44c to 9ebc31a5721a0fb034f915e4bbcb2ee6feeaecbc,None,dependabot,2024-11-01T15:09:58Z,1,langflow-ai,624ce33a-e10a-4a11-9e30-258d36a7914d,1,1,1,33371,2024-11-01T13:05:39Z
1,2024-01-01T19:34:13Z,2024-01-01T16:23:12Z,2024-01-01T19:34:12Z,1151,0,CLOSED,R_kgDOI2oX4A,Stirling-PDF,Java,Bump com.opencsv:opencsv from 5.7.1 to 5.9,2024-01-01T19:34:11Z,dependabot,None,1,Stirling-Tools,a2d6aeeb-f2d9-46cb-9be3-0dd4c4555516,1,1,0,44861,2024-01-01T16:23:12Z
2,2023-01-04T00:02:57Z,2022-01-03T14:16:40Z,2022-01-03T16:53:53Z,9804,1,MERGED,MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==,prettier,JavaScript,Build(deps-dev): Bump @rollup/plugin-alias from 3.1.8 to 3.1.9,2022-01-03T14:18:35Z,dependabot,2022-01-03T16:53:53Z,1,prettier,a4c0b659-8fba-4047-8873-41870c577768,25,17,0,49376,2022-01-03T14:16:40Z
2,2022-05-19T00:02:55Z,2021-05-18T00:11:41Z,2021-05-18T01:09:57Z,9804,1,MERGED,MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==,prettier,JavaScript,Build(deps): Bump @babel/parser from 7.14.1 to 7.14.3,None,dependabot,2021-05-18T01:09:57Z,1,prettier,0a1453be-c557-4ab3-a412-8b6fa4ab0f7f,10,5,0,49376,2021-05-18T00:11:41Z
2,2022-04-10T16:51:58Z,2022-04-10T01:02:13Z,2022-04-10T16:51:47Z,9804,1,MERGED,MDEwOlJlcG9zaXRvcnk3NTEwNDEyMw==,prettier,JavaScript,Build(deps-dev): Bump cspell from 5.19.5 to 5.19.7,None,dependabot,2022-04-10T16:51:46Z,1,prettier,1c0af247-2924-4f4d-8cb0-03b546bf400f,66,72,0,49376,2022-04-10T01:02:13Z
1,2021-11-29T08:29:24Z,2021-09-13T06:02:45Z,2021-11-29T08:29:15Z,8922,2,CLOSED,MDEwOlJlcG9zaXRvcnkyMzQ3OTg2NzU=,bevy,Rust,Update notify requirement from =5.0.0-pre.11 to =5.0.0-pre.13,2021-11-13T21:38:25Z,dependabot,None,1,bevyengine,0f81114c-b894-4bc5-8c6a-90a7dddd2c85,1,1,0,36094,2021-09-13T06:02:45Z
2,2021-07-16T16:40:21Z,2021-07-12T03:04:54Z,2021-07-16T16:40:06Z,2661,1,CLOSED,MDEwOlJlcG9zaXRvcnkxNTQyODQ4MA==,AdminLTE,Astro,Bump pdfmake from 0.1.71 to 0.2.0,None,dependabot,None,1,ColorlibHQ,e1994e2c-07f8-4403-aee3-620df24916bc,44,80,0,44041,2021-07-12T03:04:54Z
2,2024-02-05T03:06:48Z,2024-01-22T03:10:37Z,2024-02-05T03:06:47Z,2661,0,CLOSED,MDEwOlJlcG9zaXRvcnkxNTQyODQ4MA==,AdminLTE,Astro,chore(deps-dev): bump the stylelint group with 2 updates,2024-02-05T03:06:42Z,dependabot,None,1,ColorlibHQ,d01d2cd5-0ae1-4582-8fc0-ffffde933210,773,539,0,44041,2024-01-22T03:10:37Z
1,2020-09-23T08:18:00Z,2020-09-21T12:00:44Z,2020-09-23T08:17:45Z,5310,1,CLOSED,MDEwOlJlcG9zaXRvcnkxNjEwMTIwMTk=,jellyfin,C#,Bump Microsoft.Extensions.Options from 3.1.7 to 3.1.8,None,dependabot,None,1,jellyfin,1016baac-5f89-4aba-9eb8-df03d40af6e5,1,1,0,34790,2020-09-21T12:00:44Z
1,2024-08-20T09:44:11Z,2024-08-12T07:30:11Z,2024-08-20T09:44:03Z,7537,1,MERGED,MDEwOlJlcG9zaXRvcnk0NzEwOTIw,dubbo,Java,Bump org.xerial.snappy:snappy-java from 1.1.10.5 to 1.1.10.6,None,dependabot,2024-08-20T09:44:03Z,1,apache,7c20bf36-3bb7-4992-8c54-e321e3e0d620,1,1,0,40493,2024-08-12T07:30:11Z
2,2022-09-28T07:53:07Z,2022-08-29T13:32:36Z,2022-09-28T07:53:04Z,950,1,MERGED,MDEwOlJlcG9zaXRvcnkxMzgwNzYwNg==,fzf,Go,Bump actions/setup-go from 3.0.0 to 3.3.0,None,dependabot,2022-09-28T07:53:04Z,1,junegunn,58688998-cc3d-423c-806c-5ec9f514c6fe,2,2,0,65269,2022-08-29T13:32:36Z
1,2022-10-18T20:30:22Z,2022-10-17T12:01:41Z,2022-10-18T20:30:10Z,5310,2,CLOSED,MDEwOlJlcG9zaXRvcnkxNjEwMTIwMTk=,jellyfin,C#,Bump Microsoft.EntityFrameworkCore.Tools from 6.0.9 to 6.0.10,None,dependabot,None,1,jellyfin,df7f5c61-5fc6-4884-81ca-62209b416877,1,1,1,34790,2022-10-17T12:01:41Z
2,2021-05-20T13:48:12Z,2021-05-03T05:06:15Z,2021-05-03T07:01:23Z,1864,1,MERGED,MDEwOlJlcG9zaXRvcnkyMDk2NTc5,marked,JavaScript,chore(deps-dev): Bump rollup from 2.45.2 to 2.46.0,None,dependabot,2021-05-03T07:01:22Z,1,markedjs,fcbac35a-265f-498d-96ee-a5667eaabaf6,4,4,0,33132,2021-05-03T05:06:15Z
2,2022-07-12T06:52:36Z,2022-07-12T00:05:45Z,2022-07-12T06:52:32Z,8333,2,MERGED,MDEwOlJlcG9zaXRvcnk4MDk0NTQyOA==,nest,TypeScript,chore(deps): bump fast-json-stringify from 5.0.6 to 5.1.0,None,dependabot,2022-07-12T06:52:32Z,1,nestjs,c7669073-4f8f-4434-875d-e8c5439953d8,6,12,0,67599,2022-07-12T00:05:45Z
5,2024-02-04T21:19:11Z,2024-02-03T12:37:20Z,2024-02-04T21:19:09Z,3905,1,CLOSED,MDEwOlJlcG9zaXRvcnkxNjA5MTkxMTk=,fastapi,Python,⬆ Bump the python-packages group with 19 updates,2024-02-04T21:19:09Z,dependabot,None,1,fastapi,d92a17e2-7fa2-499a-adca-d1d459753694,19,19,0,77179,2024-02-03T12:37:20Z
1,2019-08-27T13:38:19Z,2019-08-27T13:32:56Z,2019-08-27T13:38:07Z,1685,1,CLOSED,MDEwOlJlcG9zaXRvcnkyNDg0MTYzNQ==,date-fns,TypeScript,Bump is-my-json-valid from 2.15.0 to 2.20.0 in /examples/browserify,None,dependabot,None,1,date-fns,96d49760-cfc7-40dd-b247-6c830f46402d,10,18,0,34806,2019-08-27T13:32:56Z
